,loss
0,577590.9375
1,551362.0625
2,526150.875
3,501930.9375
4,478672.71875
5,456347.125
6,434925.90625
7,414380.6875
8,394683.65625
9,375808.03125
10,357726.125
11,340412.25
12,323839.875
13,307983.65625
14,292818.59375
15,278320.09375
16,264464.625
17,251227.921875
18,238587.859375
19,226521.515625
20,215007.421875
21,204024.3125
22,193551.515625
23,183568.78125
24,174056.484375
25,164995.625
26,156367.828125
27,148155.15625
28,140340.265625
29,132906.296875
30,125836.84375
31,119116.4921875
32,112729.859375
33,106662.25
34,100899.46875
35,95427.84375
36,90234.2109375
37,85305.859375
38,80630.5390625
39,76196.5546875
40,71992.609375
41,68007.7890625
42,64231.71484375
43,60654.34375
44,57266.09375
45,54057.7734375
46,51020.5390625
47,48145.9921875
48,45426.0390625
49,42852.97265625
50,40419.3671875
51,38118.2265625
52,35942.77734375
53,33886.52734375
54,31943.42578125
55,30107.609375
56,28373.458984375
57,26735.662109375
58,25189.171875
59,23729.154296875
60,22351.021484375
61,21050.400390625
62,19823.16796875
63,18665.34375
64,17573.22265625
65,16543.189453125
66,15571.896484375
67,14656.1123046875
68,13792.810546875
69,12979.0869140625
70,12212.208984375
71,11489.5712890625
72,10808.712890625
73,10167.314453125
74,9563.1484375
75,8994.1396484375
76,8458.32421875
77,7953.79443359375
78,7478.78564453125
79,7031.5947265625
80,6610.65576171875
81,6214.46728515625
82,5841.60009765625
83,5490.71630859375
84,5160.54833984375
85,4849.927734375
86,4557.7333984375
87,4282.8740234375
88,4024.378173828125
89,3781.2666015625
90,3552.62548828125
91,3337.619140625
92,3135.49462890625
93,2945.465576171875
94,2766.835693359375
95,2598.895263671875
96,2441.01123046875
97,2292.620361328125
98,2153.1484375
99,2022.0899658203125
100,1898.921630859375
101,1783.176513671875
102,1674.4541015625
103,1572.351318359375
104,1476.5042724609375
105,1386.506103515625
106,1302.0279541015625
107,1222.71533203125
108,1148.33251953125
109,1078.6483154296875
110,1013.2445068359375
111,951.8424072265625
112,894.2352905273438
113,840.2490844726562
114,789.55908203125
115,742.0462646484375
116,697.5885620117188
117,655.8527221679688
118,616.6463012695312
119,580.167724609375
120,546.0848999023438
121,514.1019897460938
122,484.23529052734375
123,456.20068359375
124,429.93145751953125
125,405.58837890625
126,382.8182678222656
127,361.33441162109375
128,341.2445373535156
129,322.6299743652344
130,305.4176330566406
131,289.318603515625
132,274.17205810546875
133,260.15325927734375
134,247.45999145507812
135,235.28004455566406
136,224.1219482421875
137,213.50521850585938
138,203.713623046875
139,194.92840576171875
140,186.29844665527344
141,178.34228515625
142,171.17306518554688
143,164.11473083496094
144,157.40284729003906
145,151.15426635742188
146,145.30796813964844
147,139.6456756591797
148,134.44281005859375
149,129.6798858642578
150,125.06400299072266
151,120.58950805664062
152,116.51272583007812
153,112.65347290039062
154,108.82115936279297
155,105.2164077758789
156,101.95902252197266
157,98.74360656738281
158,95.70634460449219
159,92.78174591064453
160,89.87909698486328
161,87.1650619506836
162,84.66494750976562
163,82.33216857910156
164,80.07564544677734
165,77.87456512451172
166,75.81000518798828
