,loss
0,577590.9375
1,551362.0625
2,526150.875
3,501930.9375
4,478672.6875
5,456347.125
6,434925.90625
7,414380.65625
8,394683.65625
9,375808.03125
10,357726.125
11,340412.25
12,323839.90625
13,307983.65625
14,292818.59375
15,278320.09375
16,264464.625
17,251227.921875
18,238587.859375
19,226521.515625
20,215007.421875
21,204024.3125
22,193551.5
23,183568.78125
24,174056.484375
25,164995.65625
26,156367.84375
27,148155.15625
28,140340.265625
29,132906.296875
30,125836.84375
31,119116.4921875
32,112729.859375
33,106662.25
34,100899.46875
35,95427.8515625
36,90234.203125
37,85305.859375
38,80630.5390625
39,76196.5703125
40,71992.609375
41,68007.7890625
42,64231.71484375
43,60654.34375
44,57266.09375
45,54057.77734375
46,51020.54296875
47,48145.9921875
48,45426.0390625
49,42852.9765625
50,40419.37109375
51,38118.2265625
52,35942.77734375
53,33886.52734375
54,31943.427734375
55,30107.603515625
56,28373.4609375
57,26735.662109375
58,25189.169921875
59,23729.1484375
60,22351.01953125
61,21050.3984375
62,19823.166015625
63,18665.341796875
64,17573.22265625
65,16543.181640625
66,15571.8896484375
67,14656.107421875
68,13792.8056640625
69,12979.0830078125
70,12212.208984375
71,11489.576171875
72,10808.7197265625
73,10167.3212890625
74,9563.1591796875
75,8994.15625
76,8458.34375
77,7953.814453125
78,7478.79248046875
79,7031.59619140625
80,6610.6611328125
81,6214.47314453125
82,5841.61083984375
83,5490.7294921875
84,5160.56689453125
85,4849.94384765625
86,4557.7314453125
87,4282.8603515625
88,4024.3720703125
89,3781.26611328125
90,3552.63330078125
91,3337.626220703125
92,3135.492431640625
93,2945.447998046875
94,2766.8154296875
95,2598.884765625
96,2441.001708984375
97,2292.60595703125
98,2153.149658203125
99,2022.0943603515625
100,1898.9490966796875
101,1783.2198486328125
102,1674.4842529296875
103,1572.3638916015625
104,1476.5062255859375
105,1386.548583984375
106,1302.09228515625
107,1222.8291015625
108,1148.4547119140625
109,1078.6910400390625
110,1013.2032470703125
111,951.709716796875
112,894.0175170898438
113,839.90087890625
114,789.177490234375
115,741.7142944335938
116,697.2313842773438
117,655.412841796875
118,616.1804809570312
119,579.6842041015625
120,545.5551147460938
121,513.6138916015625
122,483.6400451660156
123,455.6550598144531
124,429.33685302734375
125,404.84228515625
126,382.2207946777344
127,361.1307678222656
128,341.1364440917969
129,322.353515625
130,304.7754211425781
131,288.7662048339844
132,273.8476867675781
133,259.6756896972656
134,246.6576690673828
135,234.28248596191406
136,222.73487854003906
137,212.04966735839844
138,202.16390991210938
139,193.22657775878906
140,184.68014526367188
141,176.71749877929688
142,169.3321075439453
143,162.2343292236328
144,155.4182586669922
145,149.1365509033203
146,143.32876586914062
147,137.79393005371094
148,132.6504364013672
149,127.82768249511719
150,123.2264633178711
151,118.88044738769531
152,114.8165512084961
153,110.95404052734375
154,107.2774887084961
155,103.70791625976562
156,100.40531921386719
157,97.27882385253906
158,94.39519500732422
159,91.48956298828125
160,88.72956848144531
161,86.17646026611328
162,83.75100708007812
163,81.42583465576172
164,79.20869445800781
165,77.09942626953125
